Time	Watts			
				
0	7.2		14.57133333	3.80009524
1	0		18.37142857	
2	10.3			
3	10.3			
4	10.4			
5	11			
6	18.5			
7	10.5			
8	10.4			
9	10.4			
10	10.5			
11	18.1			
12	17.7			
13	10.3			
14	10.3			
15	10.4			
16	10.4			
17	20.4			
18	12.4			
19	12			
20	11.9			
21	11.7			
22	11.7			
23	20.8			
24	10.7			
25	10.7			
26	10.7			
27	10.7			
28	11.1			
29	19.2			
30	10.9			
31	10.8			
32	10.8			
33	10.8			
34	16.5			
35	16.5			
36	10.7			
37	10.6			
38	10.6			
39	10.6			
40	19.6			
41	13.4			
42	13			
43	12.7			
44	12.5			
45	12.4			
46	21.4			
47	11.1			
48	11			
49	10.9			
50	10.8			
51	11			
52	19.2			
53	9.9			
54	10			
55	10			
56	10.1			
57	16.3			
58	16.4			
59	10.7			
60	10.7			
61	10.7			
62	10.7			
63	19.2			
64	14			
65	13.5			
66	13.1			
67	12.8			
68	12.6			
69	21			
70	11.1			
71	11			
72	10.9			
73	10.9			
74	11.1			
75	19.8			
76	10.9			
77	10.8			
78	10.8			
79	10.8			
80	11.3			
81	16.9			
82	10.1			
83	10			
84	10.1			
85	10.2			
86	18.5			
87	18			
88	10.1			
89	10.1			
90	10.1			
91	10.3			
92	21			
93	12.2			
94	11.9			
95	11.8			
96	11.7			
97	11.8			
98	20.4			
99	9.9			
100	9.9			
101	9.9			
102	9.9			
103	10.5			
104	17.7			
105	10.1			
106	10.1			
107	10.1			
108	10.1			
109	17.7			
110	17.4			
111	10.5			
112	10.4			
113	10.4			
114	10.5			
115	20.6			
116	12.8			
117	12.5			
118	12.2			
119	12			
120	12.1			
121	20.6			
122	10.7			
123	10.7			
124	10.6			
125	10.6			
126	16.1			
127	16.3			
128	10.7			
129	10.6			
130	10.6			
131	10.6			
132	19.2			
133	18.7			
134	10.5			
135	10.5			
136	10.5			
137	10.7			
138	20.2			
139	12.2			
140	12			
141	11.8			
142	11.6			
143	12.1			
144	18.7			
145	9.9			
146	9.9			
147	10			
148	10.1			
149	16.1			
150	16.3			
151	10.5			
152	10.5			
153	10.5			
154	10.8			
155	16.5			
156	16.3			
157	15.6			
158	10.5			
159	10.5			
160	11			
161	16.7			
162	16.2			
163	10.5			
164	10.5			
165	10.5			
166	11.1			
167	19			
168	10.7			
169	10.7			
170	10.7			
171	10.9			
172	11.2			
173	18.5			
174	10.5			
175	10.4			
176	10.4			
177	11			
178	11.3			
179	16.5			
180	10.1			
181	10.1			
182	10.2			
183	10.9			
184	11.4			
185	11.7			
186	11.5			
187	11.4			
188	11.5			
189	11.8			
190	16.9			
191	11.3			
192	11.1			
193	11			
194	11.4			
195	11.3			
196	18.5			
197	10.7			
198	10.6			
199	10.7			
200	11.2			
201	11.2			
202	18.3			
203	10.5			
204	10.5			
205	10.7			
206	11.1			
207	18.5			
208	24.1			
209	23.7			
210	18.1			
211	18.3			
212	18.3			
213	18.6			
214	18.8			
215	18.7			
216	18.6			
217	18.9			
218	18.8			
219	19.1			
220	19.2			
221	19			
222	19			
223	19.1			
224	19			
225	19.5			
226	19.3			
227	19.1			
228	19.2			
229	19.1			
230	19			
231	19.5			
232	19.3			
233	19.2			
234	19.3			
235	19.2			
236	19.2			
237	19.5			
238	19.3			
239	19.2			
240	19.3			
241	19.2			
242	19.3			
243	19.5			
244	19.3			
245	19.3			
246	19.3			
247	19.2			
248	19.5			
249	19.5			
250	19.3			
251	19.5			
252	19.3			
253	19.1			
254	19.4			
255	19.3			
256	19.1			
257	19.3			
258	19.1			
259	18.9			
260	19.4			
261	19.2			
262	19.2			
263	19.2			
264	19			
265	19.1			
266	19.4			
267	19.2			
268	19.3			
269	19.2			
270	19.1			
271	19.2			
272	19.4			
273	19.2			
274	19.4			
275	19.3			
276	19.1			
277	19.4			
278	19.3			
279	19.2			
280	19.3			
281	19.2			
282	19			
283	19.5			
284	19.3			
285	19.4			
286	19.4			
287	19.2			
288	19			
289	19.4			
290	19.2			
291	19.4			
292	19.3			
293	19.1			
294	19.1			
295	19.3			
296	19.2			
297	19.5			
298	19.4			
299	19.2			
300	19.5			
301	20			
302	20.4			
303	20.9			
304	21.1			
305	20.9			
306	5.8			
