Time	Watts			
				
0	7		15.90033333	6.919666667
1	0		22.82	
2	13.2			
3	21.6			
4	21.4			
5	21.4			
6	21			
7	20.7			
8	20.5			
9	20.5			
10	20.6			
11	20.6			
12	20.3			
13	20.1			
14	20			
15	20			
16	20.1			
17	20.2			
18	19.9			
19	19.7			
20	19.7			
21	19.7			
22	20			
23	20			
24	19.8			
25	19.6			
26	19.7			
27	19.7			
28	20			
29	19.9			
30	19.7			
31	19.5			
32	19.8			
33	19.6			
34	20			
35	19.9			
36	19.7			
37	19.5			
38	19.8			
39	19.6			
40	20			
41	19.8			
42	19.6			
43	19.6			
44	19.8			
45	19.6			
46	20.1			
47	19.9			
48	19.7			
49	19.7			
50	19.8			
51	19.8			
52	20.3			
53	20.1			
54	19.9			
55	19.9			
56	19.9			
57	19.8			
58	20.2			
59	19.9			
60	19.7			
61	19.9			
62	19.8			
63	19.8			
64	20.1			
65	19.9			
66	19.7			
67	20			
68	19.7			
69	19.8			
70	20			
71	11.3			
72	11.3			
73	16.5			
74	10.9			
75	11.3			
76	12			
77	11.9			
78	12			
79	12.3			
80	12.1			
81	12.7			
82	12.9			
83	12.7			
84	12.9			
85	13			
86	12.7			
87	18.5			
88	13			
89	12.7			
90	13.1			
91	13			
92	12.7			
93	19.4			
94	12			
95	11.8			
96	12.4			
97	12.2			
98	12.1			
99	20.2			
100	10.9			
101	11			
102	11.6			
103	11.6			
104	11.6			
105	20			
106	11.1			
107	11.3			
108	11.7			
109	11.6			
110	11.8			
111	18.7			
112	10.9			
113	11.4			
114	11.5			
115	11.5			
116	11.8			
117	17.7			
118	11.1			
119	16.7			
120	11.1			
121	11.1			
122	11.5			
123	16.7			
124	11.3			
125	11.8			
126	11.7			
127	11.6			
128	12.2			
129	12.6			
130	12.6			
131	12.8			
132	12.6			
133	12.5			
134	13			
135	13.1			
136	13.3			
137	13.2			
138	12.9			
139	12.6			
140	18.7			
141	12.2			
142	12.6			
143	12.4			
144	12.3			
145	12.1			
146	20.2			
147	11.1			
148	16.3			
149	11.1			
150	11			
151	11.1			
152	20			
153	12.4			
154	12.7			
155	12.5			
156	12.3			
157	12.3			
158	19.2			
159	13.8			
160	13.7			
161	13.4			
162	13.1			
163	13.2			
164	13.7			
165	14			
166	13.7			
167	13.4			
168	13.1			
169	13.2			
170	13.7			
171	14			
172	13.6			
173	13.3			
174	13			
175	13.4			
176	13.8			
177	14			
178	13.6			
179	13.3			
180	13			
181	13.5			
182	13.9			
183	13.9			
184	13.5			
185	13.2			
186	12.9			
187	13.5			
188	14			
189	13.7			
190	13.4			
191	13.1			
192	12.8			
193	19.2			
194	18.8			
195	10.9			
196	10.9			
197	10.9			
198	10.9			
199	20.8			
200	20.2			
201	11.5			
202	11.4			
203	11.3			
204	11.2			
205	21			
206	15			
207	14.5			
208	14			
209	13.7			
210	13.4			
211	21.6			
212	13.2			
213	12.9			
214	12.7			
215	12.5			
216	12.6			
217	23.3			
218	13.2			
219	12.8			
220	12.6			
221	12.3			
222	12.3			
223	22			
224	12.2			
225	12			
226	11.8			
227	11.8			
228	11.8			
229	21.6			
230	11.5			
231	11.4			
232	11.5			
233	11.4			
234	11.6			
235	21.2			
236	11.1			
237	11.1			
238	11			
239	11			
240	11.4			
241	20.6			
242	11.1			
243	11			
244	11			
245	11			
246	11.4			
247	24.1			
248	23.9			
249	23.5			
250	17.9			
251	17.9			
252	18.2			
253	23.7			
254	15.7			
255	15.4			
256	15.3			
257	15.2			
258	15.7			
259	25.1			
260	19.6			
261	19.5			
262	19.1			
263	19			
264	18.7			
265	19.3			
266	19.2			
267	19.2			
268	19.1			
269	19			
270	19.1			
271	19.7			
272	19.5			
273	19.4			
274	19.2			
275	19.2			
276	19.2			
277	24.3			
278	18.7			
279	18.6			
280	18.6			
281	18.6			
282	18.6			
283	24.5			
284	18.5			
285	18.5			
286	18.4			
287	18.4			
288	18.5			
289	24.1			
290	23.4			
291	18.3			
292	18.3			
293	18.3			
294	18.3			
295	24.3			
296	23.7			
297	18.5			
298	18.5			
299	18.5			
300	18.4			
301	23.9			
302	23.5			
303	23.4			
304	23.2			
305	23			
306	22.8			
307	23.1			
308	23.3			
309	23.2			
310	23			
311	22.8			
312	22.7			
313	22.8			
314	23.2			
315	23.1			
316	23			
317	22.8			
318	22.7			
319	22.5			
