Time	Watts			
				
0	6.8		14.74966667	8.172555556
1	0		22.92222222	
2	13.4			
3	13			
4	12.8			
5	13			
6	19			
7	11.1			
8	11			
9	11.3			
10	11.3			
11	11.8			
12	18.5			
13	11.1			
14	11			
15	11.1			
16	11.1			
17	11.5			
18	18.7			
19	10.5			
20	10.5			
21	10.6			
22	10.6			
23	11.1			
24	18.7			
25	11.1			
26	11.1			
27	11.1			
28	11.1			
29	11.6			
30	18.5			
31	11.3			
32	11.2			
33	11.1			
34	11.1			
35	11.6			
36	18.5			
37	10.7			
38	10.7			
39	10.7			
40	10.7			
41	11.3			
42	19			
43	11.1			
44	11.1			
45	11			
46	11			
47	11.7			
48	18.3			
49	10.9			
50	10.8			
51	10.9			
52	10.9			
53	11.5			
54	17.9			
55	10.9			
56	11			
57	11			
58	10.9			
59	16.1			
60	16.3			
61	10.9			
62	10.8			
63	10.8			
64	10.8			
65	16.1			
66	16.3			
67	10.9			
68	10.9			
69	10.8			
70	10.8			
71	16.1			
72	16.3			
73	15.6			
74	15.1			
75	14.5			
76	14.1			
77	14.3			
78	14.8			
79	14.3			
80	13.8			
81	13.5			
82	13.1			
83	13.5			
84	14			
85	13.6			
86	13.3			
87	13			
88	12.7			
89	13.2			
90	13.7			
91	13.4			
92	13.1			
93	12.8			
94	12.6			
95	13			
96	13.6			
97	13.2			
98	12.9			
99	12.6			
100	12.4			
101	12.9			
102	13.5			
103	13.2			
104	12.9			
105	12.7			
106	12.5			
107	13			
108	13.5			
109	13.2			
110	12.9			
111	12.7			
112	12.4			
113	12.9			
114	13.5			
115	13.1			
116	13			
117	12.7			
118	12.5			
119	12.9			
120	18.1			
121	11.3			
122	11.2			
123	11.2			
124	11.1			
125	11.8			
126	17.9			
127	11.1			
128	11.1			
129	11			
130	11			
131	16.1			
132	16.3			
133	11.1			
134	11			
135	11			
136	11.1			
137	11.7			
138	17.9			
139	10.9			
140	10.9			
141	10.9			
142	10.9			
143	16.1			
144	16.2			
145	11.1			
146	11.1			
147	11.1			
148	11.1			
149	16.7			
150	16.7			
151	11.3			
152	11.2			
153	11.1			
154	11.1			
155	11.7			
156	17.9			
157	10.7			
158	10.7			
159	10.8			
160	10.8			
161	16.1			
162	16.3			
163	15.6			
164	15.1			
165	14.6			
166	14.1			
167	14.4			
168	14.7			
169	14.3			
170	13.9			
171	13.5			
172	13.2			
173	13.5			
174	14			
175	13.6			
176	13.4			
177	13.1			
178	12.9			
179	13.2			
180	13.8			
181	13.5			
182	13.1			
183	12.9			
184	12.6			
185	13			
186	13.6			
187	13.2			
188	12.9			
189	12.6			
190	12.4			
191	12.9			
192	18.1			
193	11.1			
194	11			
195	11.1			
196	11.1			
197	11.6			
198	18.5			
199	10.9			
200	10.9			
201	10.9			
202	10.9			
203	11.5			
204	18.1			
205	10.9			
206	10.9			
207	10.9			
208	10.9			
209	16.1			
210	16.3			
211	11.1			
212	11			
213	11			
214	11			
215	16.7			
216	16.8			
217	17.3			
218	22.7			
219	22.3			
220	21.8			
221	21.7			
222	21.8			
223	21.4			
224	21			
225	20.7			
226	20.4			
227	20.4			
228	20.7			
229	20.4			
230	20.1			
231	19.9			
232	19.7			
233	19.8			
234	20.2			
235	20			
236	19.8			
237	19.6			
238	19.4			
239	19.6			
240	20			
241	19.8			
242	19.7			
243	19.5			
244	19.4			
245	19.4			
246	19.9			
247	19.7			
248	19.6			
249	19.4			
250	19.3			
251	19.3			
252	19.9			
253	19.7			
254	19.5			
255	19.4			
256	19.2			
257	19.2			
258	19.9			
259	19.7			
260	19.5			
261	19.4			
262	19.2			
263	19.2			
264	19.8			
265	19.6			
266	19.5			
267	19.3			
268	19.2			
269	19.2			
270	24.3			
271	19			
272	18.8			
273	18.8			
274	18.7			
275	18.7			
276	24.3			
277	19.2			
278	19			
279	19			
280	18.9			
281	18.9			
282	19.5			
283	19.5			
284	19.4			
285	19.2			
286	19.1			
287	19.1			
288	19.7			
289	19.6			
290	19.4			
291	19.3			
292	19.2			
293	19.2			
294	19.8			
295	19.8			
296	19.6			
297	19.5			
298	19.3			
299	19.3			
300	19.9			
301	19.9			
302	19.8			
303	20.1			
304	20.3			
305	20.6			
306	25.7			
307	25.5			
308	25			
309	24.6			
310	24.3			
311	24			
312	24.1			
313	24.3			
314	24			
315	23.7			
316	23.5			
317	23.3			
